Time SenderId SenderProto   ReceiverId ReceiverProto     Commodity          Quantity               
928  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
929  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
930  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
931  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
932  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
933  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
934  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
935  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
936  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
937  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
938  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
939  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
940  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
941  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
942  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
943  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
944  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
945  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
946  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
947  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
948  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
949  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
950  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
951  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
952  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
953  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
954  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
955  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
956  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
957  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
958  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
959  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
960  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
961  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
962  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
963  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
964  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
965  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
966  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
967  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
968  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
969  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
970  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
971  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
972  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
973  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
974  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 22470.000000000004     
975  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 74900                  
